  desktop/kde/applications/blogilo  (8 > 6)
  desktop/kde/applications/konversation  (24 > 23)
  desktop/kde/applications/pim-storage-service-manager  (8 > 1)
  desktop/kde/bindings/python3-kde5  (8 > 7)
  desktop/kde/graphics/libkface  (14 > 8)
  desktop/kde/multimedia/kmix  (29 > 28)
  desktop/pisilinux/package-manager  (14 > 15)
  hardware/mobile/usbmuxd  (6 > 4)
  hardware/powermanagement/acpid  (5 > 4)
  hardware/printer/cups-filters  (12 > 13)
  multimedia/graphics/imlib2  (5 > 6)
  multimedia/graphics/libjpeg-turbo  (7 > 8)
  multimedia/nightingale  (3 > 1)
  multimedia/sound/deadbeef  (9 > 10)
  office/calligra/calligra  (6 > 4)
  office/libreoffice/libreoffice  (15 > 13)
  office/misc/mupdf  (5 > 6)
  office/misc/qpdf  (7 > 8)
  office/spellcheck/zemberek-office  (3 > 4)
  programming/language/python/python-docker-py  (4 > 3)
  programming/misc/grantlee-qt5  (6 > 7)
